route_id,trip_id,service_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
002,002_6_024_I_20:30,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_20:50,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_21:10,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_07:35,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_08:00,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_08:20,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_08:45,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_09:10,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_09:35,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_09:55,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_10:20,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_10:40,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_11:05,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_11:25,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_11:50,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_12:15,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_12:40,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_13:05,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_14:30,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_14:50,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_15:10,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_15:30,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_15:50,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_16:10,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_16:30,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_16:50,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_17:15,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_17:35,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_17:55,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_18:20,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_18:40,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_19:00,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_19:25,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_19:45,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_20:05,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_20:30,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_20:50,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_026_I_21:10,002_026_LMXJV,002_L2_T6_I,EL SALVADOR,,0,
003,003_3_026_I_07:22,003_026_LMXJV,003_L3_T3_I,CALAVERON - PLZ MARIANO GRANADOS,,0,
003,003_3_026_I_09:50,003_026_LMXJV,003_L3_T3_I,CALAVERON - PLZ MARIANO GRANADOS,,0,
003,003_3_026_I_12:20,003_026_LMXJV,003_L3_T3_I,CALAVERON - PLZ MARIANO GRANADOS,,0,
003,003_3_026_I_14:50,003_026_LMXJV,003_L3_T3_I,CALAVERON - PLZ MARIANO GRANADOS,,0,
003,003_3_026_I_17:17,003_026_LMXJV,003_L3_T3_I,CALAVERON - PLZ MARIANO GRANADOS,,0,
003,003_3_026_I_19:47,003_026_LMXJV,003_L3_T3_I,CALAVERON - PLZ MARIANO GRANADOS,,0,
003,003_3_026_I_21:27,003_026_LMXJV,003_L3_T3_I,CALAVERON - PLZ MARIANO GRANADOS,,0,
003,003_6_026_I_07:10,003_026_LMXJV,003_L3_T6_I,STA BARBARA-RESIDENCIA - PLZ MARIANO GRANADOS,,0,
003,003_8_026_I_08:09,003_026_LMXJV,003_L3_T8_I,PLZ MARIANO GRANADOS,,0,
003,003_8_026_I_09:00,003_026_LMXJV,003_L3_T8_I,PLZ MARIANO GRANADOS,,0,
003,003_8_026_I_10:40,003_026_LMXJV,003_L3_T8_I,PLZ MARIANO GRANADOS,,0,
003,003_8_026_I_11:30,003_026_LMXJV,003_L3_T8_I,PLZ MARIANO GRANADOS,,0,
003,003_8_026_I_13:10,003_026_LMXJV,003_L3_T8_I,PLZ MARIANO GRANADOS,,0,
003,003_8_026_I_14:00,003_026_LMXJV,003_L3_T8_I,PLZ MARIANO GRANADOS,,0,
003,003_8_026_I_15:40,003_026_LMXJV,003_L3_T8_I,PLZ MARIANO GRANADOS,,0,
003,003_8_026_I_16:29,003_026_LMXJV,003_L3_T8_I,PLZ MARIANO GRANADOS,,0,
003,003_8_026_I_18:05,003_026_LMXJV,003_L3_T8_I,PLZ MARIANO GRANADOS,,0,
003,003_8_026_I_18:58,003_026_LMXJV,003_L3_T8_I,PLZ MARIANO GRANADOS,,0,
